ID,alive,food0_AVE,food0_LIST,food1_AVE,food1_LIST,food2_AVE,food2_LIST,genomeLength,markovBrainDeterministicGates,markovBrainGates,markovBrain_nextNodesConnections_AVE,markovBrain_nextNodesConnections_LIST,markovBrain_nodesConnections_AVE,markovBrain_nodesConnections_LIST,novelty_AVE,novelty_LIST,optimizeValue,repeated_AVE,repeated_LIST,score_AVE,score_LIST,switches_AVE,switches_LIST,timeOfBirth,total_AVE,total_LIST,update
2,1,0.333333,"[0,0,1]",0.333333,"[0,0,1]",0.666667,"[1,1,0]",5000,6,6,1.133333,"[1,3,1,1,1,0,1,1,1,0,1,2,1,2,1]",0.933333,"[2,2,0,0,1,1,1,0,0,0,0,2,2,1,2]",0.000000,"[0,0,0]",1.000000,0.000000,"[0,0,0]",1.000000,"[1.000000,1.000000,1.000000]",0.000000,"[0,0,0]",-1,1.000000,"[1,1,1]",0
1001,1,101.666667,"[101,103,101]",51.333333,"[56,47,51]",47.000000,"[43,50,48]",5313,6,6,1.333333,"[2,1,0,2,3,1,1,2,0,4,1,1,0,1,1]",1.133333,"[1,2,1,2,0,1,1,1,1,3,0,1,1,1,1]",21.666667,"[21,21,23]",25.533333,76.666667,"[78,76,76]",25.533333,"[23.400000,31.200000,22.000000]",52.000000,"[54,47,55]",9,98.333333,"[99,97,99]",10
2001,1,47.000000,"[72,0,69]",44.333333,"[65,0,68]",42.000000,"[63,0,63]",5556,6,6,1.333333,"[2,1,1,1,4,1,1,1,0,4,1,1,0,1,1]",1.133333,"[2,2,1,1,0,1,1,1,1,3,0,1,1,1,1]",13.333333,"[21,0,19]",28.000000,72.666667,"[107,0,111]",28.000000,"[48.200000,0.000000,35.800000]",41.666667,"[57,0,68]",19,86.333333,"[128,0,131]",20
3001,1,58.000000,"[58,58,58]",75.000000,"[72,81,72]",66.333333,"[69,60,70]",5911,8,8,1.733333,"[0,3,1,3,4,2,1,2,0,5,1,1,0,1,2]",1.400000,"[0,2,1,2,0,1,1,3,1,3,1,1,3,1,1]",21.333333,"[21,21,22]",36.800000,120.333333,"[120,121,120]",36.800000,"[37.400000,45.800000,27.200000]",74.666667,"[74,68,82]",29,141.333333,"[141,141,142]",30
4001,1,75.333333,"[81,72,73]",64.000000,"[55,75,62]",60.666667,"[64,53,65]",6282,8,8,1.600000,"[2,2,1,1,4,1,1,5,0,4,1,1,0,1,0]",1.533333,"[2,3,1,1,0,1,1,1,3,3,1,3,1,1,1]",32.333333,"[31,32,34]",60.733333,91.333333,"[87,95,92]",60.733333,"[51.800000,79.000000,51.400000]",45.666667,"[48,35,54]",39,124.666667,"[119,128,127]",40
5001,1,57.333333,"[57,59,56]",69.000000,"[64,70,73]",72.666667,"[78,70,70]",5395,6,6,1.466667,"[1,1,1,3,4,2,1,1,0,4,1,1,0,1,1]",1.066667,"[0,1,1,2,0,1,1,3,0,3,0,0,2,1,1]",20.000000,"[22,19,19]",44.600000,122.000000,"[121,121,124]",44.600000,"[45.400000,35.000000,53.400000]",69.333333,"[69,75,64]",49,141.666667,"[142,140,143]",50
6002,1,85.333333,"[86,88,82]",66.000000,"[62,67,69]",48.666667,"[52,45,49]",5942,7,7,1.666667,"[2,2,1,2,2,1,2,1,1,5,0,1,0,5,0]",1.200000,"[1,1,1,1,0,1,2,2,0,5,0,0,2,1,1]",32.333333,"[31,34,32]",56.800000,82.000000,"[83,78,85]",56.800000,"[49.600000,63.000000,57.800000]",41.333333,"[46,35,43]",59,114.666667,"[114,112,118]",60
7001,1,38.000000,"[57,57,0]",53.333333,"[87,73,0]",41.666667,"[55,70,0]",6250,7,7,1.733333,"[2,2,1,3,2,2,2,1,1,3,0,1,1,5,0]",1.200000,"[2,1,1,1,0,1,2,1,1,4,0,0,2,1,1]",14.333333,"[21,22,0]",31.066667,80.333333,"[121,120,0]",31.066667,"[53.800000,39.400000,0.000000]",45.666667,"[63,74,0]",69,95.000000,"[142,143,0]",70
8001,1,75.666667,"[80,73,74]",68.333333,"[69,78,58]",56.000000,"[51,49,68]",8378,5,5,1.200000,"[1,2,0,0,2,1,1,1,0,4,1,2,1,1,1]",0.933333,"[1,1,1,2,0,1,1,1,0,3,1,0,1,1,0]",33.666667,"[34,33,34]",59.466667,89.666667,"[85,93,91]",59.466667,"[61.200000,75.200000,42.000000]",46.333333,"[42,37,60]",79,124.333333,"[120,127,126]",80
9001,1,77.000000,"[74,75,82]",65.666667,"[60,74,63]",57.333333,"[66,51,55]",9030,9,9,2.200000,"[3,3,0,2,3,2,3,2,0,7,2,0,1,2,3]",1.600000,"[2,1,2,3,0,1,2,2,0,5,2,0,2,2,0]",34.333333,"[34,35,34]",58.600000,88.666667,"[92,90,84]",58.600000,"[63.000000,55.000000,57.800000]",46.000000,"[45,50,43]",89,123.000000,"[126,125,118]",90
