food0_AVE,food1_AVE,food2_AVE,genomeLength_AVE,markovBrainDeterministicGates_AVE,markovBrainGates_AVE,markovBrainGates_VAR,novelty_AVE,optimizeValue_AVE,repeated_AVE,score_AVE,switches_AVE,total_AVE,update
147.610000,0.236667,0.220000,5000.000000,5.990000,5.990000,0.171616,0.336667,0.456667,1.693333,0.456667,0.000000,0.456667,0
132.580000,34.536667,33.190000,5288.660000,5.990000,5.990000,0.797879,14.000000,20.971333,53.526667,20.971333,33.396667,67.726667,10
93.510000,49.843333,48.476667,5240.420000,5.760000,5.760000,0.790303,16.486667,31.045333,81.713333,31.045333,48.053333,98.320000,20
89.133333,55.160000,52.530000,5556.590000,6.530000,6.530000,0.574848,21.703333,38.884667,86.370000,38.884667,49.146667,107.690000,30
89.593333,49.150000,46.076667,5711.320000,6.910000,6.910000,1.840303,22.996667,38.209333,71.886667,38.209333,40.726667,95.226667,40
88.023333,53.266667,50.770000,5891.370000,6.600000,6.600000,1.030303,23.183333,40.108000,80.640000,40.108000,45.663333,104.036667,50
92.943333,54.720000,50.233333,6202.540000,6.900000,6.900000,0.616162,25.060000,43.549333,79.620000,43.549333,43.860000,104.953333,60
94.080000,46.930000,41.776667,6591.560000,7.180000,7.180000,1.442020,23.586667,38.582000,69.190000,38.582000,35.803333,88.706667,70
92.996667,51.350000,45.826667,7232.670000,6.860000,6.860000,1.616566,25.933333,42.758667,74.713333,42.758667,38.870000,97.176667,80
89.403333,53.293333,49.140000,7933.600000,6.750000,6.750000,2.593434,26.196667,43.890000,78.203333,43.890000,41.816667,102.433333,90
89.123333,53.940000,49.226667,7628.010000,6.920000,6.920000,2.498586,27.820000,46.382667,79.216667,46.382667,40.560000,103.166667,100
96.766667,54.233333,49.593333,7965.860000,7.970000,7.970000,4.251616,26.623333,45.311333,76.703333,45.311333,41.796667,103.826667,110
88.420000,56.193333,51.216667,7453.540000,8.050000,8.050000,13.603535,27.486667,47.098000,79.533333,47.098000,43.080000,107.410000,120
69.410000,56.220000,51.356667,6888.300000,8.270000,8.270000,30.663737,27.080000,47.246000,81.483333,47.246000,43.093333,107.576667,130
56.070000,57.050000,53.440000,6958.520000,7.720000,7.720000,21.193535,24.820000,44.531333,90.366667,44.531333,47.113333,110.490000,140
41.946667,59.396667,53.543333,6394.560000,6.170000,6.170000,1.839495,25.820000,49.356667,86.796667,49.356667,45.416667,112.940000,150
26.073333,66.803333,59.580000,6750.610000,6.480000,6.480000,1.928889,28.143333,55.291333,97.916667,55.291333,50.780000,126.383333,160
28.776667,63.306667,56.463333,7440.710000,6.630000,6.630000,3.104141,26.910000,52.108000,92.616667,52.108000,48.330000,119.770000,170
24.303333,65.003333,60.500000,7028.490000,6.700000,6.700000,4.050505,28.073333,53.702000,97.090000,53.702000,51.286667,125.503333,180
16.536667,67.136667,61.226667,6264.830000,5.710000,5.710000,0.713030,28.403333,56.436000,99.680000,56.436000,51.376667,128.363333,190
22.360000,64.173333,60.306667,6613.670000,5.790000,5.790000,0.551414,28.143333,56.281333,96.093333,56.281333,48.713333,124.480000,200
27.280000,62.636667,57.806667,6281.280000,5.860000,5.860000,0.929697,27.503333,54.853333,92.573333,54.853333,46.850000,120.443333,210
32.473333,57.360000,59.393333,6360.990000,5.400000,5.400000,0.686869,28.863333,58.499333,87.580000,58.499333,41.610000,116.753333,220
42.546667,52.006667,53.430000,6590.520000,5.240000,5.240000,0.749899,26.756667,56.394667,78.396667,56.394667,35.030000,105.436667,230
46.006667,50.473333,52.993333,6671.910000,5.730000,5.730000,2.017273,26.043333,54.032667,77.366667,54.032667,35.310000,103.466667,240
28.083333,51.266667,55.786667,7172.760000,5.980000,5.980000,2.262222,26.740000,57.078000,79.933333,57.078000,35.696667,107.053333,250
25.796667,53.770000,57.960000,7279.180000,5.780000,5.780000,0.779394,28.230000,60.728000,83.263333,60.728000,36.430000,111.730000,260
54.860000,49.426667,52.050000,7661.520000,6.270000,6.270000,1.451616,24.543333,52.140667,76.660000,52.140667,35.240000,101.476667,270
30.763333,54.876667,59.110000,7788.380000,6.360000,6.360000,2.757980,29.273333,62.522667,84.546667,62.522667,36.760000,113.986667,280
39.106667,52.450000,57.030000,8056.740000,7.040000,7.040000,2.442828,27.896667,59.649333,81.210000,59.649333,35.593333,109.480000,290
38.116667,50.563333,54.580000,8052.450000,6.610000,6.610000,2.119091,26.363333,56.460667,78.490000,56.460667,34.773333,105.143333,300
44.076667,52.043333,52.753333,8827.560000,6.410000,6.410000,1.456465,27.240000,54.961333,77.306667,54.961333,35.596667,104.796667,310
45.253333,53.110000,56.326667,9550.830000,6.620000,6.620000,2.662222,27.920000,57.398667,81.206667,57.398667,37.170000,109.436667,320
47.986667,50.113333,54.420000,9527.200000,6.680000,6.680000,2.866263,27.756667,58.347333,76.466667,58.347333,32.990000,104.533333,330
39.610000,48.410000,54.563333,9325.340000,6.990000,6.990000,3.686768,26.676667,56.530667,76.340000,56.530667,33.173333,102.973333,340
58.876667,43.480000,48.163333,9325.120000,6.660000,6.660000,3.135758,24.826667,53.726667,66.363333,53.726667,27.083333,91.643333,350
42.633333,45.510000,51.180000,8964.670000,6.140000,6.140000,2.202424,26.323333,55.679333,70.043333,55.679333,29.293333,96.690000,360
48.340000,46.656667,51.796667,10142.760000,5.980000,5.980000,3.534949,26.926667,57.811333,71.046667,57.811333,29.030000,98.453333,370
38.143333,46.996667,52.870000,11202.120000,5.060000,5.060000,0.663030,27.543333,59.845333,72.063333,59.845333,28.586667,99.866667,380
45.570000,50.143333,55.456667,11391.850000,5.260000,5.260000,1.143838,28.066667,58.028000,77.136667,58.028000,33.980000,105.600000,390
57.110000,43.430000,48.720000,12100.020000,5.820000,5.820000,0.876364,26.103333,53.118000,65.760000,53.118000,27.880000,92.150000,400
38.723333,49.290000,56.100000,11573.300000,5.620000,5.620000,1.025859,27.503333,60.095333,77.553333,60.095333,32.353333,105.390000,410
41.603333,48.106667,54.763333,11380.090000,5.640000,5.640000,1.101414,27.863333,59.885333,74.676667,59.885333,30.703333,102.870000,420
29.580000,51.310000,57.710000,11509.740000,5.530000,5.530000,0.615253,29.500000,63.762667,79.226667,63.762667,32.326667,109.020000,430
39.216667,45.913333,48.726667,11287.980000,5.140000,5.140000,0.444848,24.493333,51.384667,69.730000,51.384667,30.896667,94.640000,440
24.426667,49.590000,54.246667,11528.460000,5.380000,5.380000,1.147071,27.496667,60.278000,76.150000,60.278000,31.113333,103.836667,450
35.773333,50.216667,55.146667,11353.190000,5.270000,5.270000,0.986970,26.676667,60.446667,78.353333,60.446667,32.083333,105.363333,460
36.246667,47.170000,53.970000,11022.240000,5.020000,5.020000,0.827879,26.066667,57.502000,74.780000,57.502000,31.170000,101.140000,470
31.560000,49.970000,55.300000,10977.010000,4.850000,4.850000,0.452020,28.300000,63.382000,76.666667,63.382000,29.920000,105.270000,480
48.343333,45.466667,50.860000,11363.960000,5.130000,5.130000,0.296061,25.910000,58.536000,70.130000,58.536000,26.993333,96.326667,490
42.610000,44.973333,50.056667,11343.770000,5.220000,5.220000,0.860202,26.116667,56.408667,69.250000,56.408667,27.586667,95.030000,500
40.623333,47.486667,55.283333,10985.130000,5.920000,5.920000,1.044040,28.286667,62.926000,74.230000,62.926000,28.460000,102.770000,510
49.713333,44.050000,50.773333,10616.810000,5.710000,5.710000,1.137273,25.303333,57.606667,69.290000,57.606667,26.583333,94.823333,520
57.853333,45.026667,49.620000,10532.380000,5.560000,5.560000,1.339798,25.110000,56.445333,70.353333,56.445333,27.286667,94.646667,530
49.733333,44.876667,50.650000,10327.950000,5.770000,5.770000,1.936465,25.313333,59.140667,69.906667,59.140667,25.990000,95.526667,540
40.700000,48.450000,53.433333,11240.050000,5.910000,5.910000,1.577677,27.463333,58.810000,75.826667,58.810000,30.766667,101.883333,550
46.603333,47.563333,52.820000,11889.240000,6.370000,6.370000,2.801111,25.796667,58.206000,76.753333,58.206000,30.126667,100.383333,560
43.196667,49.223333,55.820000,12056.460000,7.150000,7.150000,2.088384,28.560000,64.807333,76.190000,64.807333,28.740000,105.043333,570
42.823333,48.150000,54.860000,12956.410000,6.040000,6.040000,3.877172,26.900000,60.310000,75.850000,60.310000,30.500000,103.010000,580
26.716667,48.090000,54.866667,13271.480000,5.070000,5.070000,1.257677,26.603333,61.236667,76.130000,61.236667,29.800000,102.956667,590
35.150000,45.473333,53.283333,12681.960000,4.950000,4.950000,0.755051,26.013333,59.155333,72.563333,59.155333,28.286667,98.756667,600
53.903333,44.863333,52.280000,12694.570000,5.470000,5.470000,0.574848,25.926667,59.656000,70.863333,59.656000,26.776667,97.143333,610
33.006667,47.406667,52.976667,12415.810000,5.540000,5.540000,0.776162,26.426667,59.825333,73.683333,59.825333,28.970000,100.383333,620
45.463333,44.610000,50.850000,11947.630000,5.050000,5.050000,0.734848,26.456667,59.419333,68.990000,59.419333,25.743333,95.460000,630
37.516667,50.303333,55.796667,12718.380000,5.330000,5.330000,0.930404,28.540000,63.535333,77.233333,63.535333,30.403333,106.100000,640
33.033333,48.990000,55.080000,13161.940000,4.870000,4.870000,0.821313,26.590000,59.797333,79.136667,59.797333,31.623333,104.070000,650
35.113333,49.596667,56.240000,13568.740000,5.140000,5.140000,1.091313,27.243333,63.734000,79.140000,63.734000,30.073333,105.836667,660
22.673333,51.653333,59.033333,14300.030000,5.520000,5.520000,0.696566,28.903333,66.997333,83.076667,66.997333,31.206667,110.686667,670
33.813333,49.703333,56.813333,14414.480000,5.930000,5.930000,0.671818,28.750000,65.100000,77.393333,65.100000,29.583333,106.516667,680
36.283333,49.103333,56.030000,13725.050000,6.230000,6.230000,1.451616,27.713333,64.799333,77.103333,64.799333,28.810000,105.133333,690
31.956667,47.166667,53.653333,12891.100000,6.080000,6.080000,2.579394,26.230000,60.714667,75.216667,60.714667,28.646667,100.820000,700
