0-correct_AVE,0-incorrect_AVE,1-correct_AVE,1-incorrect_AVE,2-correct_AVE,2-incorrect_AVE,3-correct_AVE,3-incorrect_AVE,4-correct_AVE,4-incorrect_AVE,5-correct_AVE,5-incorrect_AVE,6-correct_AVE,6-incorrect_AVE,7-correct_AVE,7-incorrect_AVE,8-correct_AVE,8-incorrect_AVE,9-correct_AVE,9-incorrect_AVE,ID,alive,genomeLength,markovBrainDeterministicGates,markovBrainGates,markovBrain_nextNodesConnections_AVE,markovBrain_nextNodesConnections_LIST,markovBrain_nodesConnections_AVE,markovBrain_nodesConnections_LIST,optimizeValue,score_AVE,score_LIST,timeOfBirth,totalCorrect_AVE,totalIncorrect_AVE,totalIncorrect_LIST,update
1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0,1,5000,94,94,5.081081,"[6,3,11,5,7,5,8,11,6,9,5,4,3,5,10,5,5,2,6,6,6,8,5,6,9,7,4,5,3,9,7,4,7,5,3,6,6,3,3,5,5,2,1,10,4,2,3,4,6,3,6,6,4,6,2,4,4,5,4,4,2,3,4,4,12,3,9,4,2,1,4,4,2,4]",5.081081,"[5,7,6,4,7,8,2,9,3,7,4,5,5,6,4,3,4,6,6,7,4,6,11,6,6,7,9,5,8,8,3,7,6,6,4,2,4,6,7,2,8,4,3,15,1,7,3,1,4,6,3,5,4,4,6,2,4,6,2,5,5,6,4,3,15,2,2,0,2,2,2,3,4,8]",4.687500,4.687500,"[4.687500]",-1,5.000000,35.000000,"[35]",0
0.000000,0.400000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,5001,1,1618,129,129,6.972973,"[11,1,14,0,1,0,11,1,3,3,0,0,1,1,9,1,12,6,8,0,0,18,7,1,11,0,27,0,0,2,20,11,6,20,0,1,1,19,13,3,1,0,12,41,0,0,0,0,6,0,20,2,13,0,0,12,7,2,2,1,13,27,14,21,38,11,4,18,0,1,3,1,1,2]",6.972973,"[25,0,17,0,11,1,1,0,16,2,0,0,5,2,21,0,0,25,14,1,0,18,9,0,0,0,0,0,0,2,10,3,9,18,2,0,0,22,15,0,0,0,0,44,0,0,0,14,6,0,18,2,18,0,0,11,9,1,7,1,1,19,0,0,73,11,0,15,0,0,4,11,2,0]",6.500000,6.500000,"[6.500000]",9,3.000000,34.000000,"[34]",10
0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,10001,1,1939,134,134,7.243243,"[9,0,3,31,0,1,4,0,0,7,1,5,1,2,7,25,15,1,19,0,17,4,1,17,0,29,0,0,15,0,1,4,0,2,2,0,1,5,4,3,1,0,10,93,3,0,4,0,0,1,3,4,6,11,10,0,5,4,0,11,1,0,6,9,73,1,13,1,5,0,9,16,0,0]",7.243243,"[12,0,0,11,0,2,4,0,3,1,19,0,8,6,23,14,16,2,14,0,7,4,2,0,0,36,12,0,15,8,1,3,0,5,2,1,0,4,0,0,1,8,5,96,7,0,0,1,0,3,1,3,4,20,7,0,2,4,0,13,1,0,0,8,67,1,14,10,1,1,9,14,0,0]",7.812500,7.812500,"[7.812500]",19,1.000000,29.000000,"[29]",20
0.000000,1.000000,1.000000,1.000000,0.000000,0.400000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,15001,1,1772,27,27,1.459459,"[0,0,2,0,0,0,1,3,0,4,2,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,13,2,0,0,0,1,2,0,0,3,0,1,0,2,2,1,0,1,1,6,0,3,0,3,0,0,10,5,4,10,3,0,1,3,0,0,0,0,1,0,0,0,7,0,1]",1.459459,"[0,0,1,0,0,0,10,3,0,9,3,0,4,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,8,0,0,0,0,0,11,10,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,2,0,0,0,9,3,0,0,0,3,4,0,5,0,0]",3.375000,3.375000,"[3.375000]",29,4.000000,28.000000,"[28]",30
0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,20001,1,1743,63,63,3.405405,"[0,7,3,0,0,0,0,10,0,14,8,21,0,0,0,6,0,0,0,3,1,0,0,0,14,5,1,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,16,3,0,0,1,2,1,0,0,3,1,0,18,15,2,8,2,3,21,6,4,20,1,0,1,4,13,0,0,0,0]",3.405405,"[0,17,6,0,0,0,0,11,0,10,4,4,0,1,4,19,0,0,0,0,2,0,0,0,6,2,11,17,0,3,0,2,1,0,0,0,2,0,1,0,0,0,1,18,1,0,0,0,9,0,0,0,0,0,0,18,17,10,15,0,1,10,3,6,17,0,0,0,0,2,0,1,0,0]",8.812500,8.812500,"[8.812500]",39,4.000000,45.000000,"[45]",40
0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,25001,1,1976,66,66,3.567568,"[0,11,1,6,0,0,0,11,0,14,20,0,1,0,0,13,0,0,0,1,0,0,0,0,11,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,2,0,0,1,1,0,0,13,0,0,9,16,1,8,16,0,16,13,22,9,0,0,0,1,7,0,0,2,0]",3.567568,"[0,7,0,0,0,0,0,22,0,9,13,0,0,0,0,17,0,0,0,1,0,0,0,0,1,0,0,10,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,29,0,0,0,0,0,2,0,1,5,0,0,10,7,0,11,11,0,4,4,17,49,0,0,0,9,22,0,0,0,0]",6.250000,6.250000,"[6.250000]",49,4.000000,36.000000,"[36]",50
1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,30001,1,1585,44,44,2.378378,"[0,1,7,0,0,0,0,3,0,18,6,21,0,0,0,14,0,2,0,0,2,0,0,0,3,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,3,0,0,0,0,0,0,15,4,8,0,20,2,0,0,4,11,0,0,0,0,1,0,1,0,0]",2.378378,"[0,1,12,0,0,0,0,8,0,5,25,10,0,0,0,14,0,0,0,0,0,0,0,0,7,5,0,0,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,19,2,12,10,3,1,2,0,0,19,1,0,0,4,1,0,0,0,0]",6.250000,6.250000,"[6.250000]",59,3.000000,32.000000,"[32]",60
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.800000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,35001,1,1683,45,45,2.432432,"[0,5,0,0,1,0,1,2,0,7,0,0,0,0,1,9,0,0,0,0,2,0,0,0,0,0,0,0,0,21,2,9,0,0,0,3,3,0,0,0,0,0,2,8,0,10,7,0,0,0,4,0,0,0,0,12,11,4,2,4,10,1,5,0,5,0,0,0,0,5,0,3,20,1]",2.432432,"[0,2,0,0,0,0,6,0,0,14,0,0,0,0,2,26,1,1,0,0,0,0,2,0,0,0,9,0,0,3,0,13,0,0,0,24,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,1,0,0,0,1,15,0,0,1,9,12,1,2,10,0,0,0,0,1,0,4,0,0]",5.687500,5.687500,"[5.687500]",69,5.000000,39.000000,"[39]",70
0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,40001,1,1988,52,52,2.810811,"[0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,12,0,0,0,7,0,0,0,20,0,7,0,19,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,7,3,10,13,3,5,7,14,14,20,0,0,0,0,13,0,0,0,8]",2.810811,"[0,1,5,0,0,0,0,0,0,1,0,1,0,0,0,7,0,0,0,8,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,6,21,31,8,0,12,6,23,46,0,0,0,0,2,0,0,0,11]",7.812500,7.812500,"[7.812500]",79,5.000000,45.000000,"[45]",80
0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,45001,1,1953,115,115,6.216216,"[0,14,0,0,0,0,0,0,0,19,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,27,0,0,0,0,0,0,22,48,6,14,25,0,0,0,22,0,6,0,0,17,20,17,28,4,9,21,6,0,69,0,0,0,0,1,0,10,0,0]",6.216216,"[0,20,0,0,1,0,0,0,0,5,1,0,0,0,0,50,0,0,2,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,7,0,0,0,0,0,0,5,86,1,13,9,0,0,0,7,0,10,0,0,48,28,16,4,5,11,17,27,9,46,0,0,0,0,11,0,15,0,0]",6.250000,6.250000,"[6.250000]",89,5.000000,40.000000,"[40]",90
