0-correct_AVE,0-incorrect_AVE,1-correct_AVE,1-incorrect_AVE,2-correct_AVE,2-incorrect_AVE,3-correct_AVE,3-incorrect_AVE,4-correct_AVE,4-incorrect_AVE,5-correct_AVE,5-incorrect_AVE,6-correct_AVE,6-incorrect_AVE,7-correct_AVE,7-incorrect_AVE,8-correct_AVE,8-incorrect_AVE,9-correct_AVE,9-incorrect_AVE,genomeLength_AVE,markovBrainDeterministicGates_AVE,markovBrainGates_AVE,markovBrainGates_VAR,optimizeValue_AVE,score_AVE,totalCorrect_AVE,totalIncorrect_AVE,update
0.420000,0.889900,0.468000,0.890800,0.458000,0.879900,0.460000,0.858400,0.420000,0.868200,0.416000,0.851200,0.454000,0.902600,0.398000,0.880900,0.488000,0.890800,0.494000,0.999000,5000.000000,95.636000,95.636000,4.111727,6.902125,6.902125,4.476000,40.066000,0
0.250000,0.513600,0.254000,0.507100,0.208000,0.445500,0.284000,0.510400,0.230000,0.468900,0.228000,0.451600,0.252000,0.466200,0.266000,0.509800,0.244000,0.471800,0.404000,0.822000,1827.258000,49.184000,49.184000,461.328802,4.001375,4.001375,2.620000,23.226000,10
0.308000,0.652700,0.318000,0.642100,0.282000,0.544000,0.300000,0.606900,0.358000,0.707400,0.306000,0.599500,0.244000,0.503800,0.328000,0.636300,0.382000,0.673100,0.454000,0.945100,1824.132000,66.298000,66.298000,828.049295,5.097750,5.097750,3.280000,29.304000,20
0.386000,0.821100,0.386000,0.791500,0.352000,0.662700,0.376000,0.732300,0.326000,0.695500,0.358000,0.726900,0.366000,0.680000,0.388000,0.768300,0.426000,0.803600,0.450000,0.967000,1820.474000,69.124000,69.124000,779.615856,6.022875,6.022875,3.814000,34.450000,30
0.384000,0.820000,0.410000,0.805100,0.402000,0.736700,0.362000,0.758100,0.328000,0.627500,0.366000,0.724200,0.408000,0.788000,0.396000,0.826600,0.400000,0.850400,0.498000,0.987600,1816.508000,78.884000,78.884000,918.527599,6.204250,6.204250,3.954000,35.660000,40
0.444000,0.835500,0.370000,0.820400,0.358000,0.730100,0.370000,0.686700,0.288000,0.589200,0.378000,0.736000,0.432000,0.869400,0.408000,0.805900,0.432000,0.900000,0.512000,0.990400,1828.192000,75.210000,75.210000,751.180261,6.242500,6.242500,3.992000,35.836000,50
0.426000,0.821800,0.416000,0.829200,0.320000,0.606600,0.338000,0.686200,0.290000,0.584000,0.346000,0.755200,0.432000,0.845800,0.396000,0.786400,0.496000,0.940400,0.424000,0.986700,1827.296000,73.030000,73.030000,893.331764,6.200625,6.200625,3.884000,35.334000,60
0.386000,0.797600,0.366000,0.777500,0.356000,0.715500,0.372000,0.768200,0.342000,0.663600,0.394000,0.734400,0.436000,0.902900,0.464000,0.860400,0.460000,0.959700,0.532000,0.994700,1822.474000,76.156000,76.156000,815.642950,6.339125,6.339125,4.108000,36.754000,70
0.422000,0.793900,0.372000,0.743700,0.390000,0.794100,0.330000,0.649400,0.398000,0.769900,0.350000,0.740600,0.420000,0.805300,0.442000,0.919000,0.452000,0.919500,0.468000,0.990000,1826.606000,82.122000,82.122000,940.095307,6.377625,6.377625,4.044000,36.578000,80
0.358000,0.715300,0.384000,0.809300,0.404000,0.854100,0.332000,0.691400,0.460000,0.861300,0.344000,0.753400,0.442000,0.819100,0.446000,0.900900,0.468000,0.926400,0.494000,0.990300,1816.778000,80.182000,80.182000,1320.822521,6.565625,6.565625,4.132000,37.486000,90
0.410000,0.748500,0.388000,0.862800,0.448000,0.860100,0.382000,0.757800,0.416000,0.884200,0.366000,0.729700,0.444000,0.820900,0.414000,0.821500,0.414000,0.870000,0.510000,0.997600,1820.320000,84.188000,84.188000,1472.088834,6.460375,6.460375,4.192000,37.542000,100
0.352000,0.706200,0.428000,0.886900,0.442000,0.879200,0.386000,0.798600,0.460000,0.892800,0.390000,0.784500,0.412000,0.802100,0.424000,0.876200,0.454000,0.928100,0.476000,0.976000,1823.350000,78.632000,78.632000,2166.301178,6.726250,6.726250,4.224000,38.416000,110
0.388000,0.798300,0.478000,0.912900,0.472000,0.877800,0.464000,0.892300,0.426000,0.938700,0.386000,0.820700,0.404000,0.824700,0.440000,0.829300,0.454000,0.928100,0.498000,0.980400,1816.208000,76.536000,76.536000,1864.786277,6.841500,6.841500,4.410000,39.596000,120
0.398000,0.842000,0.478000,0.956300,0.430000,0.877400,0.398000,0.813500,0.490000,0.958500,0.402000,0.798600,0.454000,0.895100,0.420000,0.836300,0.496000,0.972500,0.498000,0.988000,1826.908000,63.192000,63.192000,967.309756,6.998000,6.998000,4.464000,40.232000,130
0.456000,0.864500,0.488000,0.968200,0.432000,0.886400,0.448000,0.878600,0.432000,0.923200,0.388000,0.813600,0.444000,0.897300,0.430000,0.865900,0.502000,0.989200,0.504000,0.979500,1818.642000,64.524000,64.524000,859.472369,7.090500,7.090500,4.524000,40.800000,140
0.438000,0.874600,0.482000,0.960100,0.424000,0.880700,0.422000,0.819300,0.462000,0.900000,0.418000,0.780800,0.444000,0.893200,0.448000,0.857400,0.446000,0.970400,0.498000,0.973600,1816.942000,65.288000,65.288000,1171.463984,6.916750,6.916750,4.482000,40.068000,150
0.410000,0.829400,0.476000,0.960900,0.450000,0.909200,0.460000,0.868900,0.440000,0.913600,0.372000,0.789000,0.498000,0.911600,0.412000,0.890400,0.468000,0.964000,0.504000,0.982500,1827.962000,67.844000,67.844000,968.039743,7.064000,7.064000,4.490000,40.600000,160
0.400000,0.870100,0.442000,0.958100,0.422000,0.822900,0.446000,0.899300,0.462000,0.944000,0.416000,0.772300,0.464000,0.889300,0.428000,0.872000,0.492000,0.980800,0.516000,0.995000,1820.120000,65.804000,65.804000,941.047679,7.071500,7.071500,4.488000,40.540000,170
0.434000,0.859700,0.480000,0.962000,0.374000,0.827000,0.436000,0.865900,0.440000,0.931900,0.396000,0.827900,0.412000,0.822600,0.456000,0.905800,0.504000,0.912500,0.498000,0.989500,1816.052000,72.698000,72.698000,1329.253303,7.017625,7.017625,4.430000,40.106000,180
0.460000,0.872900,0.486000,0.982400,0.434000,0.878700,0.412000,0.877700,0.424000,0.954900,0.426000,0.822500,0.406000,0.753400,0.480000,0.924900,0.452000,0.895100,0.494000,0.990000,1811.384000,71.392000,71.392000,1173.088513,7.007250,7.007250,4.474000,40.296000,190
0.442000,0.828200,0.500000,0.989600,0.456000,0.910000,0.414000,0.856800,0.486000,0.963000,0.442000,0.860000,0.380000,0.777300,0.436000,0.902800,0.414000,0.868400,0.512000,0.986000,1817.826000,70.830000,70.830000,1161.083267,6.966125,6.966125,4.482000,40.234000,200
0.400000,0.808700,0.510000,0.983900,0.466000,0.946500,0.412000,0.833300,0.490000,0.968500,0.398000,0.819500,0.398000,0.796800,0.484000,0.920100,0.426000,0.858000,0.476000,0.983900,1829.056000,75.626000,75.626000,1058.434994,6.979125,6.979125,4.460000,40.138000,210
0.440000,0.840300,0.476000,0.982000,0.450000,0.963600,0.444000,0.854700,0.524000,0.953300,0.426000,0.800700,0.356000,0.769000,0.470000,0.920500,0.388000,0.844700,0.486000,0.988200,1820.042000,78.836000,78.836000,1241.668441,6.980500,6.980500,4.460000,40.128000,220
0.428000,0.818000,0.490000,0.969700,0.470000,0.973300,0.470000,0.909500,0.456000,0.900700,0.416000,0.814500,0.404000,0.793400,0.476000,0.941200,0.420000,0.844300,0.464000,0.990600,1823.672000,80.698000,80.698000,1379.790377,6.988250,6.988250,4.494000,40.292000,230
0.368000,0.741500,0.478000,0.964700,0.482000,0.949600,0.448000,0.874800,0.448000,0.914700,0.430000,0.852600,0.402000,0.775300,0.460000,0.901300,0.416000,0.837000,0.474000,0.996000,1820.896000,75.080000,75.080000,1238.430461,6.885000,6.885000,4.406000,39.636000,240
0.390000,0.760500,0.462000,0.935800,0.478000,0.928700,0.392000,0.784700,0.434000,0.897400,0.414000,0.770400,0.406000,0.823300,0.436000,0.911600,0.430000,0.874200,0.478000,0.973000,1831.166000,66.638000,66.638000,1148.383723,6.770250,6.770250,4.320000,38.972000,250
0.444000,0.865800,0.482000,0.927400,0.480000,0.958500,0.438000,0.865000,0.422000,0.858600,0.414000,0.801300,0.422000,0.850200,0.450000,0.911700,0.400000,0.861400,0.508000,0.984000,1828.142000,74.706000,74.706000,906.428421,6.913625,6.913625,4.460000,39.958000,260
0.432000,0.886200,0.436000,0.938000,0.470000,0.940300,0.460000,0.874200,0.444000,0.871500,0.374000,0.781900,0.478000,0.893800,0.412000,0.864000,0.456000,0.890400,0.484000,0.989000,1822.530000,76.502000,76.502000,1510.539074,7.011500,7.011500,4.446000,40.204000,270
0.466000,0.866500,0.446000,0.918700,0.436000,0.931700,0.410000,0.866500,0.444000,0.878700,0.380000,0.778200,0.440000,0.855000,0.438000,0.892800,0.452000,0.931500,0.502000,0.972800,1826.104000,75.006000,75.006000,1338.190345,7.018750,7.018750,4.414000,40.056000,280
0.456000,0.901300,0.460000,0.968000,0.488000,0.963700,0.480000,0.899900,0.434000,0.896300,0.434000,0.803000,0.422000,0.857900,0.450000,0.897100,0.466000,0.926300,0.500000,0.983200,1821.054000,72.978000,72.978000,982.077671,7.055250,7.055250,4.590000,40.896000,290
0.432000,0.881900,0.498000,0.936600,0.498000,0.956900,0.404000,0.840100,0.438000,0.880100,0.408000,0.803700,0.420000,0.866100,0.422000,0.899600,0.406000,0.848600,0.500000,0.968100,1825.190000,68.920000,68.920000,967.340281,6.982000,6.982000,4.426000,39.992000,300
0.464000,0.895000,0.464000,0.902400,0.484000,0.944300,0.432000,0.846200,0.388000,0.816300,0.406000,0.780900,0.458000,0.884000,0.422000,0.866300,0.410000,0.846200,0.476000,0.987000,1812.182000,69.180000,69.180000,1300.600802,6.815375,6.815375,4.404000,39.442000,310
0.462000,0.927900,0.442000,0.961500,0.502000,0.951800,0.438000,0.858300,0.418000,0.872800,0.454000,0.864900,0.474000,0.903800,0.416000,0.862600,0.472000,0.900500,0.506000,0.992600,1821.726000,88.422000,88.422000,1892.460838,7.072875,7.072875,4.584000,40.910000,320
0.472000,0.930900,0.494000,0.976700,0.414000,0.911800,0.438000,0.893900,0.412000,0.825600,0.428000,0.835800,0.428000,0.857600,0.470000,0.877800,0.440000,0.913600,0.498000,0.990000,1815.944000,94.964000,94.964000,2020.652008,7.056625,7.056625,4.494000,40.570000,330
0.438000,0.884600,0.472000,0.955200,0.474000,0.874400,0.444000,0.873200,0.404000,0.816500,0.354000,0.763000,0.382000,0.837300,0.434000,0.876400,0.482000,0.932900,0.528000,0.985500,1812.886000,90.730000,90.730000,1802.738577,6.847250,6.847250,4.412000,39.576000,340
