0-correct_AVE,0-incorrect_AVE,1-correct_AVE,1-incorrect_AVE,2-correct_AVE,2-incorrect_AVE,3-correct_AVE,3-incorrect_AVE,4-correct_AVE,4-incorrect_AVE,5-correct_AVE,5-incorrect_AVE,6-correct_AVE,6-incorrect_AVE,7-correct_AVE,7-incorrect_AVE,8-correct_AVE,8-incorrect_AVE,9-correct_AVE,9-incorrect_AVE,ID,alive,genomeLength,optimizeValue,score_AVE,score_LIST,timeOfBirth,totalCorrect_AVE,totalIncorrect_AVE,totalIncorrect_LIST,update
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,1,5000,3.125000,3.125000,"[3.125000]",-1,0.000000,10.000000,"[10]",0
1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1001,1,4671,3.125000,3.125000,"[3.125000]",9,4.000000,26.000000,"[26]",10
0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.750000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.400000,2001,1,6312,3.437500,3.437500,"[3.437500]",19,4.000000,27.000000,"[27]",20
0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3001,1,5525,6.250000,6.250000,"[6.250000]",29,4.000000,36.000000,"[36]",30
1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,4001,1,4915,7.812500,7.812500,"[7.812500]",39,3.000000,37.000000,"[37]",40
0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,5001,1,4451,6.250000,6.250000,"[6.250000]",49,3.000000,32.000000,"[32]",50
0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,6001,1,4341,6.250000,6.250000,"[6.250000]",59,4.000000,36.000000,"[36]",60
1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,7001,1,3923,6.250000,6.250000,"[6.250000]",69,3.000000,32.000000,"[32]",70
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.400000,0.000000,1.000000,8001,1,5294,4.937500,4.937500,"[4.937500]",79,4.000000,33.000000,"[33]",80
0.000000,0.400000,1.000000,1.000000,0.000000,0.250000,0.000000,0.400000,1.000000,1.000000,1.000000,0.500000,0.000000,0.600000,0.000000,0.000000,0.000000,1.000000,0.000000,0.250000,9001,1,4517,3.000000,3.000000,"[3.000000]",89,3.000000,24.000000,"[24]",90
