0-correct_AVE,0-incorrect_AVE,1-correct_AVE,1-incorrect_AVE,2-correct_AVE,2-incorrect_AVE,3-correct_AVE,3-incorrect_AVE,4-correct_AVE,4-incorrect_AVE,5-correct_AVE,5-incorrect_AVE,6-correct_AVE,6-incorrect_AVE,7-correct_AVE,7-incorrect_AVE,8-correct_AVE,8-incorrect_AVE,9-correct_AVE,9-incorrect_AVE,genomeLength_AVE,optimizeValue_AVE,score_AVE,totalCorrect_AVE,totalIncorrect_AVE,update
0.140000,0.218500,0.140000,0.252000,0.060000,0.225500,0.100000,0.200500,0.160000,0.247000,0.160000,0.272500,0.120000,0.232000,0.060000,0.239000,0.130000,0.219500,0.100000,0.274000,5000.000000,2.103125,2.103125,1.170000,10.870000,0
0.400000,0.853500,0.170000,0.316000,0.430000,0.786500,0.480000,0.827000,0.370000,0.920000,0.530000,0.941000,0.050000,0.109500,0.180000,0.324500,0.320000,0.610500,0.370000,0.728000,5070.890000,4.878125,4.878125,3.300000,28.790000,10
0.440000,0.879000,0.060000,0.168500,0.370000,0.854000,0.480000,0.927000,0.430000,0.941500,0.540000,0.896500,0.010000,0.042500,0.110000,0.289000,0.340000,0.665500,0.380000,0.820500,4955.170000,5.085000,5.085000,3.160000,29.220000,20
0.550000,0.942500,0.100000,0.151500,0.470000,0.961000,0.460000,0.980000,0.510000,1.000000,0.430000,0.926000,0.000000,0.000000,0.200000,0.517500,0.390000,0.875500,0.520000,0.976000,5262.510000,5.761875,5.761875,3.630000,32.990000,30
0.490000,0.920000,0.070000,0.161500,0.500000,0.968500,0.420000,0.978000,0.510000,0.982500,0.490000,0.860000,0.010000,0.038000,0.320000,0.638000,0.460000,0.903000,0.440000,0.967500,5170.760000,5.854375,5.854375,3.710000,33.410000,40
0.420000,0.817500,0.230000,0.456000,0.480000,0.876000,0.600000,1.000000,0.540000,0.990000,0.340000,0.764000,0.090000,0.187500,0.190000,0.498500,0.390000,0.814500,0.450000,0.951500,5330.400000,5.693750,5.693750,3.730000,33.080000,50
0.460000,0.854000,0.150000,0.329500,0.490000,0.970000,0.470000,0.984000,0.470000,0.930000,0.350000,0.697500,0.110000,0.246000,0.150000,0.406500,0.540000,0.906500,0.460000,0.900000,5132.260000,5.501250,5.501250,3.650000,32.420000,60
0.400000,0.878000,0.350000,0.677500,0.490000,0.962500,0.540000,0.985000,0.480000,0.970000,0.480000,0.822000,0.200000,0.430000,0.240000,0.453000,0.340000,0.827500,0.480000,0.988000,4940.870000,6.290625,6.290625,4.000000,35.970000,70
0.410000,0.714000,0.470000,0.902000,0.440000,0.915000,0.480000,0.992500,0.500000,0.910000,0.400000,0.782000,0.280000,0.585500,0.240000,0.453500,0.410000,0.757500,0.400000,0.944000,4859.370000,6.166250,6.166250,4.030000,35.760000,80
0.400000,0.794000,0.370000,0.549000,0.490000,0.904500,0.430000,0.945000,0.350000,0.887500,0.420000,0.821500,0.170000,0.334000,0.180000,0.487000,0.430000,0.791500,0.450000,0.936500,4515.120000,5.952500,5.952500,3.690000,33.600000,90
